Date	SampleID	LibraryID	FullID	Homolka species	Homolka lineage	Homolka group	Quality	Coll lineage (branch)	Coll lineage_name (branch)	Coll quality (branch)	Coll lineage (easy)	Coll lineage_name (easy)	Coll quality (easy)	Beijing lineage (easy)	Beijing quality (easy)
'2024-05-22	'10010-03	'illumina	'10010-03_illumina	'M. africanum	'5	'West African 1a	'good	'5	'West-Africa 1	'bad	'5	'West-Africa 1	'bad	'unknown	'good
'2024-05-22	'10011-03	'illumina	'10011-03_illumina	'M. tuberculosis	'4.3	'LAM	'good	'4.3.3	'LAM	'good	'4.3.3	'LAM	'good	'unknown	'good
'2024-05-22	'10012-03	'illumina	'10012-03_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.1	'Euro-American	'good	'4.1	'Euro-American	'good	'unknown	'good
'2024-05-22	'10205-03	'illumina	'10205-03_illumina	'M. tuberculosis	'4.3	'LAM	'good	'4.3.3	'LAM	'good	'4.3.3	'LAM	'good	'unknown	'good
'2024-05-22	'10206-03	'illumina	'10206-03_illumina	'M. tuberculosis	'4.3	'LAM	'good	'4.3.3	'LAM	'good	'4.3.3	'LAM	'good	'unknown	'good
'2024-05-22	'10207-03	'illumina	'10207-03_illumina	'M. tuberculosis	'4.6.2.2	'Cameroon	'good	'4.6.2.2	'Cameroon	'good	'4.6.2.2	'Cameroon	'good	'unknown	'good
'2024-05-22	'10208-03	'illumina	'10208-03_illumina	'M. africanum	'6	'West African 2	'good	'6	'West-Africa 2	'good	'6	'West-Africa 2	'good	'unknown	'good
'2024-05-22	'10348-03	'illumina	'10348-03_illumina	'M. tuberculosis	'4.3	'LAM	'good	'4.3.4.2	'LAM	'good	'4.3.4.2	'LAM	'good	'unknown	'good
'2024-05-22	'10349-03	'illumina	'10349-03_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.1	'Euro-American	'good	'4.1	'Euro-American	'good	'unknown	'good
'2024-05-22	'10350-03	'illumina	'10350-03_illumina	'M. tuberculosis	'4.1.2.1	'Haarlem	'good	'4.1.2.1	'Haarlem	'good	'4.1.2.1	'Haarlem	'good	'unknown	'good
'2024-05-22	'10517-03	'illumina	'10517-03_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.8	'mainly T	'good	'4.8	'mainly T	'good	'unknown	'good
'2024-05-22	'11096-03	'illumina	'11096-03_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.8	'mainly T	'good	'4.8	'mainly T	'good	'unknown	'good
'2024-05-22	'11097-03	'illumina	'11097-03_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.1	'Euro-American	'good	'4.1	'Euro-American	'good	'unknown	'good
'2024-05-22	'11818-03	'illumina	'11818-03_illumina	'M. tuberculosis	'4.1.2.1	'Haarlem	'good	'4.1.2.1	'Haarlem	'good	'4.1.2.1	'Haarlem	'good	'unknown	'good
'2024-05-22	'11821-03	'illumina	'11821-03_illumina	'M. africanum	'5	'West African 1a	'good	'5	'West-Africa 1	'bad	'5	'West-Africa 1	'bad	'unknown	'good
'2024-05-22	'11822-03	'illumina	'11822-03_illumina	'M. tuberculosis	'4.1.2.1	'Haarlem	'good	'4.1.2.1	'Haarlem	'good	'4.1.2.1	'Haarlem	'good	'unknown	'good
'2024-05-22	'12655-03	'illumina	'12655-03_illumina	'M. tuberculosis	'4.6.2.2	'Cameroon	'good	'4.6.2.2	'Cameroon	'good	'4.6.2.2	'Cameroon	'good	'unknown	'good
'2024-05-22	'12657-03	'illumina	'12657-03_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.1	'Euro-American	'good	'4.1	'Euro-American	'good	'unknown	'good
'2024-05-22	'12658-03	'illumina	'12658-03_illumina	'M. tuberculosis	'2	'Beijing	'good	'2.2.1	'Beijing	'good	'2.2.1	'Beijing	'good	'Ancestral 3	'good
'2024-05-22	'1322-04	'illumina	'1322-04_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.8	'mainly T	'good	'4.8	'mainly T	'good	'unknown	'good
'2024-05-22	'1324-04	'illumina	'1324-04_illumina	'M. tuberculosis	'4.4.1.1	'S-type	'good	'4.4.1.1	'S-type	'good	'4.4.1.1	'S-type	'good	'unknown	'good
'2024-05-22	'1327-04	'illumina	'1327-04_illumina	'M. africanum	'6	'West African 2	'good	'6	'West-Africa 2	'good	'6	'West-Africa 2	'good	'unknown	'good
