Date	SampleID	LibraryID	FullID	Total Reads	Mapped Reads	% Mapped Reads	Genome Size	Genome GC	(Any) Total Bases	% (Any) Total Bases	(Any) GC-Content	(Any) Coverage mean	(Any) Coverage median	(Unambiguous) Total Bases	% (Unambiguous) Total Bases	(Unambiguous) GC-Content	(Unambiguous) Coverage mean	(Unambiguous) Coverage median	SNPs	Deletions	Insertions	Uncovered	Substitutions (Including Stop Codons)
'2024-05-22	'10010-03	'illumina	'10010-03_illumina	'1359180	'1345417	'98.99	'4411532	'65.61	'4370731	'0.99	'65.54	'68.05	'69	'4275440	'0.97	'65.33	'69.32	'70	'2100	'663	'226	'40801	'1127
'2024-05-22	'10011-03	'illumina	'10011-03_illumina	'1868911	'1856367	'99.33	'4411532	'65.61	'4374303	'0.99	'65.57	'94.34	'96	'4305884	'0.98	'65.39	'95.68	'97	'906	'493	'156	'37229	'487
'2024-05-22	'10012-03	'illumina	'10012-03_illumina	'2552722	'2530420	'99.13	'4411532	'65.61	'4394284	'1.00	'65.58	'126.75	'130	'4339304	'0.98	'65.43	'128.22	'130	'980	'331	'113	'17248	'482
'2024-05-22	'10205-03	'illumina	'10205-03_illumina	'1339451	'1325981	'98.99	'4411532	'65.61	'4367643	'0.99	'65.55	'68.32	'69	'4259347	'0.97	'65.33	'69.79	'70	'845	'402	'152	'43889	'434
'2024-05-22	'10206-03	'illumina	'10206-03_illumina	'1349545	'1336679	'99.05	'4411532	'65.61	'4376633	'0.99	'65.56	'68.47	'69	'4289550	'0.97	'65.35	'69.68	'70	'890	'445	'111	'34899	'480
'2024-05-22	'10207-03	'illumina	'10207-03_illumina	'1571919	'1563056	'99.44	'4411532	'65.61	'4366060	'0.99	'65.57	'79.04	'80	'4296894	'0.97	'65.39	'80.18	'80	'816	'402	'118	'45472	'408
'2024-05-22	'10208-03	'illumina	'10208-03_illumina	'3592891	'3563381	'99.18	'4411532	'65.61	'4359095	'0.99	'65.57	'209.49	'214	'4333381	'0.98	'65.51	'210.68	'214	'2395	'605	'351	'52437	'1277
'2024-05-22	'10348-03	'illumina	'10348-03_illumina	'3773762	'3749978	'99.37	'4411532	'65.61	'4353274	'0.99	'65.59	'191.05	'197	'4296335	'0.97	'65.45	'193.42	'198	'863	'301	'127	'58258	'445
'2024-05-22	'10349-03	'illumina	'10349-03_illumina	'1429533	'1416032	'99.06	'4411532	'65.61	'4384538	'0.99	'65.56	'72.17	'73	'4299566	'0.97	'65.34	'73.44	'73	'936	'204	'142	'26994	'493
'2024-05-22	'10350-03	'illumina	'10350-03_illumina	'1783739	'1770487	'99.26	'4411532	'65.61	'4373384	'0.99	'65.57	'104.65	'105	'4333962	'0.98	'65.47	'105.54	'106	'1014	'481	'146	'38148	'535
